Canton;Classes d'âge par étapes de 5 ans;Nationalité;Chômeurs inscrits
Appenzell Rhodes-Intérieures;30-34 ans;Suisses;3
Appenzell Rhodes-Intérieures;30-34 ans;Total;5
Appenzell Rhodes-Intérieures;35-39 ans;Etrangers;3
Appenzell Rhodes-Intérieures;35-39 ans;Suisses;7
Appenzell Rhodes-Intérieures;35-39 ans;Total;10
Appenzell Rhodes-Intérieures;40-44 ans;Etrangers;1
Appenzell Rhodes-Intérieures;40-44 ans;Suisses;3
Appenzell Rhodes-Intérieures;40-44 ans;Total;4
Appenzell Rhodes-Intérieures;45-49 ans;Etrangers;2
Appenzell Rhodes-Intérieures;45-49 ans;Suisses;1
Appenzell Rhodes-Intérieures;45-49 ans;Total;3
Appenzell Rhodes-Intérieures;50-54 ans;Etrangers;3
Appenzell Rhodes-Intérieures;50-54 ans;Suisses;4
Appenzell Rhodes-Intérieures;50-54 ans;Total;7
Appenzell Rhodes-Intérieures;55-59 ans;Etrangers;4
Appenzell Rhodes-Intérieures;55-59 ans;Suisses;10
Appenzell Rhodes-Intérieures;55-59 ans;Total;14
Appenzell Rhodes-Intérieures;60 ans et plus;Etrangers;3
Appenzell Rhodes-Intérieures;60 ans et plus;Suisses;4
Appenzell Rhodes-Intérieures;60 ans et plus;Total;7
Appenzell Rhodes-Intérieures;Total;;68
St-Gall;15-19 ans;Etrangers;77
St-Gall;15-19 ans;Suisses;107
St-Gall;15-19 ans;Total;184
St-Gall;20-24 ans;Etrangers;260
St-Gall;20-24 ans;Suisses;369
St-Gall;20-24 ans;Total;629
St-Gall;25-29 ans;Etrangers;407
St-Gall;25-29 ans;Suisses;445
St-Gall;25-29 ans;Total;852
St-Gall;30-34 ans;Etrangers;461
St-Gall;30-34 ans;Suisses;345
St-Gall;30-34 ans;Total;806
St-Gall;35-39 ans;Etrangers;430
St-Gall;35-39 ans;Suisses;261
St-Gall;35-39 ans;Total;691
St-Gall;40-44 ans;Etrangers;342
St-Gall;40-44 ans;Suisses;222
St-Gall;40-44 ans;Total;564
St-Gall;45-49 ans;Etrangers;294
St-Gall;45-49 ans;Suisses;273
St-Gall;45-49 ans;Total;567
St-Gall;50-54 ans;Etrangers;284
St-Gall;50-54 ans;Suisses;379
St-Gall;50-54 ans;Total;663
St-Gall;55-59 ans;Etrangers;221
St-Gall;55-59 ans;Suisses;351
St-Gall;55-59 ans;Total;572
St-Gall;60 ans et plus;Etrangers;177
St-Gall;60 ans et plus;Suisses;349
St-Gall;60 ans et plus;Total;526
St-Gall;Total;;6 054
Grisons;15-19 ans;Etrangers;16
Grisons;15-19 ans;Suisses;19
Grisons;15-19 ans;Total;35
Grisons;20-24 ans;Etrangers;29
Grisons;20-24 ans;Suisses;79
Grisons;20-24 ans;Total;108
Grisons;25-29 ans;Etrangers;63
Grisons;25-29 ans;Suisses;72
Grisons;25-29 ans;Total;135
Grisons;30-34 ans;Etrangers;60
Grisons;30-34 ans;Suisses;70
Grisons;30-34 ans;Total;130
Grisons;35-39 ans;Etrangers;62
Grisons;35-39 ans;Suisses;36
Grisons;35-39 ans;Total;98
Grisons;40-44 ans;Etrangers;62
Grisons;40-44 ans;Suisses;40
Grisons;40-44 ans;Total;102
Grisons;45-49 ans;Etrangers;54
Grisons;45-49 ans;Suisses;62
Grisons;45-49 ans;Total;116
Grisons;50-54 ans;Etrangers;54
Grisons;50-54 ans;Suisses;74
Grisons;50-54 ans;Total;128
Grisons;55-59 ans;Etrangers;39
Grisons;55-59 ans;Suisses;82
Grisons;55-59 ans;Total;121
Grisons;60 ans et plus;Etrangers;31
Grisons;60 ans et plus;Suisses;80
Grisons;60 ans et plus;Total;111
Grisons;Total;;1 084
Argovie;15-19 ans;Etrangers;159
Argovie;15-19 ans;Suisses;220
Argovie;15-19 ans;Total;379
Argovie;20-24 ans;Etrangers;394
Argovie;20-24 ans;Suisses;597
Argovie;20-24 ans;Total;991
Argovie;25-29 ans;Etrangers;695
Argovie;25-29 ans;Suisses;707
Argovie;25-29 ans;Total;1 402
Argovie;30-34 ans;Etrangers;751
Argovie;30-34 ans;Suisses;599
Argovie;30-34 ans;Total;1 350
Argovie;35-39 ans;Etrangers;745
Argovie;35-39 ans;Suisses;533
Argovie;35-39 ans;Total;1 278
Argovie;40-44 ans;Etrangers;601
Argovie;40-44 ans;Suisses;463
Argovie;40-44 ans;Total;1 064
Argovie;45-49 ans;Etrangers;555
Argovie;45-49 ans;Suisses;611
Argovie;45-49 ans;Total;1 166
Argovie;50-54 ans;Etrangers;473
Argovie;50-54 ans;Suisses;741
Argovie;50-54 ans;Total;1 214
Argovie;55-59 ans;Etrangers;368
Argovie;55-59 ans;Suisses;647
Argovie;55-59 ans;Total;1 015
Argovie;60 ans et plus;Etrangers;239
Argovie;60 ans et plus;Suisses;621
Argovie;60 ans et plus;Total;860
Argovie;Total;;10 719
Thurgovie;15-19 ans;Etrangers;53
Thurgovie;15-19 ans;Suisses;77
Thurgovie;15-19 ans;Total;130
Thurgovie;20-24 ans;Etrangers;132
Thurgovie;20-24 ans;Suisses;196
Thurgovie;20-24 ans;Total;328
Thurgovie;25-29 ans;Etrangers;234
Thurgovie;25-29 ans;Suisses;220
Thurgovie;25-29 ans;Total;454
Thurgovie;30-34 ans;Etrangers;220
Thurgovie;30-34 ans;Suisses;151
Thurgovie;30-34 ans;Total;371
Thurgovie;35-39 ans;Etrangers;210
Thurgovie;35-39 ans;Suisses;126
Thurgovie;35-39 ans;Total;336
Thurgovie;40-44 ans;Etrangers;156
Thurgovie;40-44 ans;Suisses;112
Thurgovie;40-44 ans;Total;268
Thurgovie;45-49 ans;Etrangers;149
Thurgovie;45-49 ans;Suisses;167
Thurgovie;45-49 ans;Total;316
Thurgovie;50-54 ans;Etrangers;164
Thurgovie;50-54 ans;Suisses;173
Thurgovie;50-54 ans;Total;337
Thurgovie;55-59 ans;Etrangers;119
Thurgovie;55-59 ans;Suisses;193
Thurgovie;55-59 ans;Total;312
Thurgovie;60 ans et plus;Etrangers;109
Thurgovie;60 ans et plus;Suisses;165
Thurgovie;60 ans et plus;Total;274
Thurgovie;Total;;3 126
Tessin;15-19 ans;Etrangers;48
Tessin;15-19 ans;Suisses;109
Tessin;15-19 ans;Total;157
Tessin;20-24 ans;Etrangers;113
Tessin;20-24 ans;Suisses;332
Tessin;20-24 ans;Total;445
Tessin;25-29 ans;Etrangers;189
Tessin;25-29 ans;Suisses;349
Tessin;25-29 ans;Total;538
Tessin;30-34 ans;Etrangers;282
Tessin;30-34 ans;Suisses;275
Tessin;30-34 ans;Total;557
Tessin;35-39 ans;Etrangers;296
Tessin;35-39 ans;Suisses;223
Tessin;35-39 ans;Total;519
Tessin;40-44 ans;Etrangers;303
Tessin;40-44 ans;Suisses;272
Tessin;40-44 ans;Total;575
Tessin;45-49 ans;Etrangers;277
Tessin;45-49 ans;Suisses;317
Tessin;45-49 ans;Total;594
Tessin;50-54 ans;Etrangers;297
Tessin;50-54 ans;Suisses;358
Tessin;50-54 ans;Total;655
Tessin;55-59 ans;Etrangers;256
Tessin;55-59 ans;Suisses;281
Tessin;55-59 ans;Total;537
Tessin;60 ans et plus;Etrangers;145
Tessin;60 ans et plus;Suisses;260
Tessin;60 ans et plus;Total;405
Tessin;Total;;4 982
Vaud;15-19 ans;Etrangers;93
Vaud;15-19 ans;Suisses;166
Vaud;15-19 ans;Total;259
Vaud;20-24 ans;Etrangers;457
Vaud;20-24 ans;Suisses;905
Vaud;20-24 ans;Total;1 362
Vaud;25-29 ans;Etrangers;1 041
Vaud;25-29 ans;Suisses;1 369
Vaud;25-29 ans;Total;2 410
Vaud;30-34 ans;Etrangers;1 444
Vaud;30-34 ans;Suisses;1 151
Vaud;30-34 ans;Total;2 595
Vaud;35-39 ans;Etrangers;1 306
Vaud;35-39 ans;Suisses;930
Vaud;35-39 ans;Total;2 236
Vaud;40-44 ans;Etrangers;1 205
Vaud;40-44 ans;Suisses;923
Vaud;40-44 ans;Total;2 128
Vaud;45-49 ans;Etrangers;936
Vaud;45-49 ans;Suisses;1 021
